country_code,country_name,gdp_pc_ppp,life_exp,internet_pct,urban_pct,education_spend_pct,fdi_pct
ABW,Aruba,38979.8358245412,76.226,,61.8811657924257,,7.4653342753216
AFE,Africa Eastern and Southern,4106.50190693219,64.4871517904367,26.8,37.3605781096471,3.69766802106406,1.71786547617322
AFG,Afghanistan,1981.71016810561,65.617,15.86629963,25.3939250580909,,
AFW,Africa Western and Central,5806.17289006101,57.9878499444678,37.5,51.6816941134779,2.89168744551701,1.46814555146344
AGO,Angola,8950.14259255142,64.246,35.83800125,69.0506188977513,2.38535898416633,-5.02899288556058
ALB,Albania,19388.8731331744,78.769,82.61367544,57.8643477747383,2.72977995872498,7.57934042905775
AND,Andorra,63913.3835079105,84.016,94.05169678,88.7548766267286,2.64727997779846,17.5702350620217
ARB,Arab World,16905.4902749583,71.8760955992222,,59.3339325148117,,2.07805996103919
ARE,United Arab Emirates,70075.6300053372,80.487,100.0,85.5147347682487,,4.44591399207935
ARG,Argentina,27825.0273492567,75.806,88.37535691,92.112838186126,4.79263019561768,2.3984601182853
ARM,Armenia,17886.1783877168,74.7658536585366,77.02767465,65.5624462874485,2.4918999671936,4.99991586140552
ASM,American Samoa,,72.752,,81.794797704649,,
ATG,Antigua and Barbuda,27941.7851474762,77.483,71.9233017,24.5114484000414,2.50368755552383,16.3832463643885
AUS,Australia,60029.1329190733,83.2,96.11940002,87.3343268253813,5.05915021896362,4.05215286724898
AUT,Austria,65694.5513287254,81.2951219512195,93.61409139,68.998085127906,5.27749013900757,3.0221599256451
AZE,Azerbaijan,21051.2442291612,74.125,88.0,58.4382815854684,3.04689002037048,-5.67773710614177
BDI,Burundi,1031.25412243175,62.882,7.144800186,22.3202446002597,,0.625576918322977
BEL,Belgium,62561.7810453236,81.7487804878049,94.00783071,87.489200269855,6.27611017227173,2.22243107053374
BEN,Benin,3588.32519938147,60.475,30.53730011,50.9627000010887,3.0972642678305,2.15770537478617
BFA,Burkina Faso,2469.19956941259,60.7,25.3987999,27.2791369742712,5.29456753304241,3.59640793567206
BGD,Bangladesh,7888.16389098304,74.265,41.61650085,31.673734726234,2.08538657806243,0.347960024540439
BGR,Bulgaria,32433.7937497005,74.1609756097561,79.12686326,73.4799164005224,4.50109004974365,5.24661564677497
BHR,Bahrain,57572.997981018,80.992,100.0,100.0,1.71192127094005,4.20018456310523
BHS,"Bahamas, The",34342.9285316569,74.491,92.2559967,81.3200717047725,2.62367021406169,3.82040434055862
BIH,Bosnia and Herzegovina,19298.1971056448,76.777,78.8455371,51.0215287060993,2.97012986426524,3.7882728069108
BLR,Belarus,26537.5083081674,74.1033658536585,89.50733148,78.4732787892908,4.62823009490967,2.17745011943276
BLZ,Belize,12565.3645829576,72.19,69.98329926,42.1373251262137,4.60415983200073,4.95003696669658
BMU,Bermuda,98145.1689383889,82.062,,100.0,1.77583338857166,0.0748475167550859
BOL,Bolivia,11487.7148799194,67.434,72.62270355,70.6352598708131,7.57551002502441,0.0122391923945909
BRA,Brazil,18554.0461828519,74.872,80.52775094,87.349556243881,5.61920976638794,3.86803201499441
BRB,Barbados,20716.2851304966,75.676,69.06359863,59.3538514107686,4.14000988006592,2.90490784179872
BRN,Brunei Darussalam,76357.829114996,72.917,98.97042579,74.7772642014221,,-1.73946797718401
BTN,Bhutan,14061.3120274588,72.754,88.35620117,40.9365143617581,7.46981980280053,0.289904655137253
BWA,Botswana,18647.3734588832,68.749,57.9,66.5889787170477,,3.49204705165089
CAF,Central African Republic,1136.80171107045,18.818,13.75360012,43.2751967457285,2.11509129476365,1.00929791484186
CAN,Canada,58321.0611834624,81.0948780487805,94.0,82.3500897353968,4.84426021575928,2.31755804932899
CEB,Central Europe and the Baltics,41834.7254053812,76.6522987292583,,61.5935240282645,4.31669998168945,4.17185107299096
CHE,Switzerland,82777.293582076,83.6048780487805,96.45279694,84.9206266284521,4.86427021026611,-1.49836009615472
CHI,Channel Islands,,81.0,,32.7920439098264,,
CHL,Chile,29569.4775527937,79.176,92.31819916,88.6395352768685,4.91201019287109,6.2318507042491
CHN,China,21499.3822834427,78.202,75.61131603,65.2176361083984,,1.03841365474349
CIV,Cote d'Ivoire,6272.26395759415,61.562,38.41328122,52.8492549676673,3.47484993934631,2.2547265327193
CMR,Cameroon,4843.65038202917,62.443,40.12559891,54.8458745688318,2.65952378267367,2.08735032157122
COD,"Congo, Dem. Rep.",1484.33841881449,60.979,17.99620056,44.003287663813,2.84466514463005,2.00131622839817
COG,"Congo, Rep.",6205.1050414034,65.0,40.98669815,63.6422003342807,2.72738253259215,3.36508336137956
COL,Colombia,18458.7209460704,76.508,72.79637855,78.0464633137335,,4.97124137726565
COM,Comoros,3399.27830776976,66.481,31.37409973,32.7746035528748,2.43164424110924,0.337727307705265
CPV,Cabo Verde,8850.1066918812,75.907,73.32740021,75.033738060849,4.7252554800722,5.43014452079405
CRI,Costa Rica,24831.7193480342,79.316,82.59801121,78.4405687613972,5.5472297668457,5.4175310653788
CSS,Caribbean small states,27046.7067687718,72.8322921090607,,50.1314448681558,2.81801009178162,-0.397301239631366
CUB,Cuba,,77.629,67.88410187,77.1056060791016,8.44086351669284,
CUW,Curacao,26734.6457811916,76.729,,91.4007684350799,6.08167033605813,5.71077944316966
CYM,Cayman Islands,76818.8004032916,79.984,,100.0,1.48894000053406,-47.2171219717417
CYP,Cyprus,50623.796875,80.434,89.60099194,66.6694829407584,4.74210977554321,0.172623612662826
CZE,Czechia,48390.661678675,78.9292682926829,84.54009378,72.6967638379524,4.30291986465454,3.02937517288668
DEU,Germany,63676.087821808,80.6080487804878,91.62984383,81.7867852780995,5.23916006088257,2.07605246190373
DJI,Djibouti,6180.67998594606,65.54,63.77600098,72.6109938538856,,5.24930012962196
DMA,Dominica,17550.8009946466,71.081,80.57980347,72.682648635692,6.04314243406571,2.71598643499556
DNK,Denmark,69475.3198650883,81.3048780487805,97.86011812,88.3880239837703,6.35586023330688,6.9048667972729
DOM,Dominican Republic,22986.95808105,74.211,81.51269675,72.4203155643711,3.61088872070271,3.56897098132173
DZA,Algeria,14782.2002970247,76.129,74.78150177,74.1795862354514,4.74924673000603,0.107187812155079
EAP,East Asia & Pacific (excluding high income),18600.020880698,75.9325409436903,81.6,60.8593968560328,2.28490151187525,1.29378662532685
EAR,Early-demographic dividend,11378.5486537272,71.4304552508694,,46.6969243405166,3.59546935615519,1.98225253051193
EAS,East Asia & Pacific,22175.197366634,76.6767167147452,82.4,63.6828244393002,2.88738689372749,2.27977422973751
ECA,Europe & Central Asia (excluding high income),22272.1276293128,74.5731684190474,82.0,68.1628939259503,3.66751503944397,1.83130761906165
ECS,Europe & Central Asia,43405.8010013308,77.834452247983,87.9,73.7292682667978,4.56857490539551,1.19277708323663
ECU,Ecuador,14186.6388544625,76.577,69.71811356,63.0901835932266,3.61301994323731,0.759467924339618
EGY,"Egypt, Arab Rep.",16360.3907750364,71.01,72.19806556,42.6325129008032,,2.39118080969079
EMU,Euro area,56046.7480108303,81.6229719062905,,77.1544577812445,4.96064496040344,0.635945989109081
ERI,Eritrea,,67.789,,34.8469276428223,,
ESP,Spain,46733.4809780536,83.1341463414634,94.4855432,79.9548794567814,4.58553981781006,4.65609043363165
EST,Estonia,43128.6327713627,77.8439024390244,91.52016546,70.4892333736738,5.20733976364136,4.52988372813183
ETH,Ethiopia,2655.59276743729,66.897,17.9836998,22.7367687225342,3.73649512188829,2.9803331590978
EUU,European Union,53777.4777646451,80.7133260356871,,74.7659603902094,4.65688991546631,1.40263277767245
FCS,Fragile and conflict affected situations,5693.99860611589,62.702271566254,34.8,45.5264138281594,,1.00649053179636
FIN,Finland,57068.3056478074,81.1878048780488,92.98879471,73.6967597835949,6.37578010559082,4.66691154081507
FJI,Fiji,12118.3182710082,67.148,72.56549835,58.1352701465266,3.93839539074194,2.08084502833913
FRA,France,53673.8137406422,82.1292682926829,85.33331734,78.7591921123356,5.32434988021851,4.0180319137717
FRO,Faroe Islands,70256.7191950519,82.8162292682927,,38.9959824546757,,
