country_code,country_name,ladder,gdp_pc_ppp,cate,ci_lo,ci_hi
BHR,Bahrain,6.1732,57573.0,0.148238,-0.121625,0.418101
LUX,Luxembourg,7.2279,132570.83,0.11765,-0.145296,0.380597
ARE,United Arab Emirates,6.5712,70075.63,0.114908,-0.198041,0.427857
ISL,Iceland,7.5296,65380.32,0.105438,-0.10889,0.319766
SAU,Saudi Arabia,6.4626,67178.59,0.104253,-0.056588,0.265094
MYS,Malaysia,6.0123,32129.22,0.10126,-0.216571,0.419091
MLT,Malta,6.2999,56841.96,0.097261,-0.183651,0.378173
DNK,Denmark,7.5864,69475.32,0.097231,-0.104981,0.299442
SGP,Singapore,6.5867,133571.96,0.097094,-0.146586,0.340774
SWE,Sweden,7.3952,63088.42,0.095596,-0.10385,0.295041
AUS,Australia,7.0946,60029.13,0.093015,-0.079687,0.265717
CHE,Switzerland,7.2401,82777.29,0.089731,-0.088035,0.267496
NOR,Norway,7.3155,91051.08,0.087788,-0.08088,0.256455
NLD,Netherlands,7.403,71324.04,0.087578,-0.098336,0.273493
IND,India,4.0358,8594.39,0.078138,-0.34379,0.500066
MEX,Mexico,6.3295,21391.86,0.074397,-0.250266,0.399061
CAN,Canada,6.9607,58321.06,0.068093,-0.086672,0.222858
CRI,Costa Rica,6.6085,24831.72,0.067263,-0.220333,0.35486
NZL,New Zealand,7.1229,49964.18,0.066273,-0.082012,0.214558
VNM,Vietnam,5.7633,12979.76,0.066263,-0.192824,0.325349
LBN,Lebanon,2.3922,11474.75,0.062061,-0.338563,0.462686
MDG,Madagascar,4.0191,1602.71,0.045402,-0.492967,0.583771
LAO,Laos,5.1107,8183.03,0.042785,-0.253852,0.339422
COM,Comoros,3.5452,3399.28,0.038487,-0.484648,0.561622
URY,Uruguay,6.4939,30804.7,0.035668,-0.247377,0.318713
GIN,Guinea,5.0717,3792.01,0.03515,-0.616548,0.686849
TGO,Togo,4.1374,2739.69,0.034832,-0.479285,0.548949
UZB,Uzbekistan,6.0143,9607.56,0.033288,-0.075465,0.142042
PHL,Philippines,5.5229,9457.1,0.032611,-0.213618,0.278841
SVN,Slovenia,6.6499,47050.07,0.030696,-0.170492,0.231883
BFA,Burkina Faso,4.6376,2469.2,0.028748,-0.569151,0.626647
ROU,Romania,6.5891,39256.99,0.027559,-0.230145,0.285263
BGD,Bangladesh,4.2821,7888.16,0.026603,-0.22103,0.274235
HKG,Hong Kong S.A.R. of China,5.3085,64036.65,0.024846,-0.407746,0.457438
PRT,Portugal,5.968,41070.86,0.023754,-0.243311,0.29082
TUR,Turkiye,4.6135,33520.81,0.022653,-0.405255,0.450561
ZWE,Zimbabwe,3.2035,5036.76,0.018644,-0.53438,0.571668
GBR,United Kingdom,6.7956,53139.15,0.017442,-0.118633,0.153517
TZA,Tanzania,3.6938,3546.98,0.014113,-0.354226,0.382453
KHM,Cambodia,4.3935,6458.37,0.011502,-0.263381,0.286384
KOR,South Korea,5.9511,53228.6,0.011394,-0.399096,0.421885
KAZ,Kazakhstan,6.1439,33506.26,0.009815,-0.13998,0.159611
GAB,Gabon,5.0347,18662.05,0.009546,-0.464444,0.483536
IDN,Indonesia,5.2769,13334.27,0.008698,-0.25214,0.269537
DEU,Germany,6.8918,63676.09,0.008678,-0.131236,0.148592
FIN,Finland,7.8042,57068.31,0.007366,-0.152714,0.167447
AFG,Afghanistan,1.859,1981.71,0.007318,-0.595807,0.610444
GRC,Greece,5.9309,35831.34,0.006808,-0.386871,0.400487
BRA,Brazil,6.1246,18554.05,0.00544,-0.271067,0.281947
BOL,Bolivia,5.6843,11487.71,0.004412,-0.285954,0.294778
KGZ,Kyrgyzstan,5.8253,6139.78,0.004391,-0.215563,0.224344
SLV,El Salvador,6.1216,11085.62,0.004362,-0.292603,0.301328
SLE,Sierra Leone,3.1376,2934.73,0.003521,-0.557427,0.56447
MDA,Moldova,5.8192,15358.02,0.003509,-0.185888,0.192907
ARG,Argentina,6.0237,27825.03,0.00279,-0.329465,0.335046
CZE,Czechia,6.8452,48390.66,0.002019,-0.271367,0.275405
MAR,Morocco,4.9028,8690.45,0.001793,-0.482594,0.48618
IRL,Ireland,6.9108,123219.08,0.000204,-0.123188,0.123596
DOM,Dominican Republic,5.5689,22986.96,-0.000353,-0.188775,0.18807
ISR,Israel,7.4729,48098.19,-0.000562,-0.167347,0.166223
MWI,Malawi,3.4952,1659.96,-0.002355,-0.575623,0.570914
CHN,China,5.8179,21499.38,-0.003547,-0.249288,0.242194
JAM,Jamaica,5.7027,11096.64,-0.003702,-0.211726,0.204322
NER,Niger,4.5013,1717.52,-0.004137,-0.498193,0.489918
THA,Thailand,5.843,20762.8,-0.00416,-0.212972,0.204652
IRN,Iran,4.8763,16377.96,-0.005819,-0.39085,0.379213
IRQ,Iraq,4.9409,13433.4,-0.006127,-0.421148,0.408893
ALB,Albania,5.2773,19388.87,-0.007067,-0.299847,0.285713
MOZ,Mozambique,4.954,1476.67,-0.00733,-0.286761,0.272101
GHA,Ghana,4.605,6728.45,-0.008007,-0.42215,0.406136
BEL,Belgium,6.8591,62561.78,-0.011151,-0.183527,0.161225
RUS,Russia,5.6607,38214.5,-0.012391,-0.291366,0.266584
NIC,Nicaragua,6.2588,7277.82,-0.012472,-0.260115,0.235172
JOR,Jordan,4.1198,9266.58,-0.013136,-0.380925,0.354653
KEN,Kenya,4.4866,5491.69,-0.015585,-0.465654,0.434483
SRB,Serbia,6.1436,24651.95,-0.018612,-0.313863,0.276639
MUS,Mauritius,5.9023,25085.99,-0.01931,-0.250031,0.21141
PRY,Paraguay,5.7378,15259.15,-0.019795,-0.282192,0.242603
EST,Estonia,6.4552,43128.63,-0.020894,-0.170131,0.128344
CHL,Chile,6.3338,29569.48,-0.022452,-0.384636,0.339731
PER,Peru,5.5259,15559.82,-0.023567,-0.381377,0.334243
GMB,Gambia,4.2794,2863.18,-0.023991,-0.559757,0.511775
MRT,Mauritania,4.7239,6053.26,-0.024284,-0.56805,0.519482
USA,United States,6.8937,72679.26,-0.025664,-0.322404,0.271075
MLI,Mali,4.1978,2813.81,-0.028485,-0.599681,0.542712
TCD,Chad,4.3966,2449.48,-0.028522,-0.603203,0.546158
COD,Congo (Kinshasa),3.2072,1484.34,-0.029242,-0.652192,0.593709
AUT,Austria,7.0973,65694.55,-0.03139,-0.150409,0.087629
GEO,Georgia,5.1091,20966.53,-0.032274,-0.34428,0.279731
EGY,Egypt,4.1705,16360.39,-0.037561,-0.355391,0.28027
FRA,France,6.6613,53673.81,-0.038723,-0.226485,0.149038
JPN,Japan,6.129,44972.34,-0.038977,-0.259239,0.181284
ESP,Spain,6.4362,46733.48,-0.039349,-0.388307,0.309609
UKR,Ukraine,5.0714,13787.12,-0.041312,-0.312944,0.23032
