country_code,country_name,year,ladder,log_gdp,social_support,life_exp_healthy,freedom,generosity,corruption,gdp_pc_ppp,life_exp,internet_pct,urban_pct,education_spend_pct,fdi_pct
FIN,Finland,2023,7.804200172424316,10.792010307312012,0.9687696099281312,71.14999389648438,0.9614078998565674,-0.0188241656869649,0.1817445605993271,57068.3056478074,81.1878048780488,92.98879471,73.6967597835949,6.37578010559082,4.66691154081507
DNK,Denmark,2023,7.586400032043457,10.962163925170898,0.9541122317314148,71.2501449584961,0.9335328340530396,0.1342421621084213,0.1958138942718505,69475.3198650883,81.3048780487805,97.86011812,88.3880239837703,6.35586023330688,6.9048667972729
ISL,Iceland,2023,7.529600143432617,10.895530700683594,0.9825330972671508,72.05001831054688,0.9363492131233216,0.2109865397214889,0.6678478121757507,65380.3173049324,82.119512195122,97.58339691,94.1787071228028,7.30798006057739,4.74021987239207
ISR,Israel,2023,7.472899913787842,10.638705253601074,0.943343997001648,72.69720458984375,0.8088658452033997,-0.0230800509452819,0.7080935835838318,48098.187235579,82.7,91.85079615,91.4979834273327,5.93291997909546,4.35725962102686
NLD,Netherlands,2023,7.402999877929687,10.942278861999512,0.9304993152618408,71.55001831054688,0.8868750929832458,0.212686151266098,0.3789292871952057,71324.0360349277,81.6146341463415,92.51968504,94.9856177734136,5.17918014526367,1.47701805979237
SWE,Sweden,2023,7.395199775695801,10.88282299041748,0.9392486810684204,72.15015411376953,0.9479710459709167,0.1647885739803314,0.2024483829736709,63088.4236678734,83.0585365853659,95.00970335,88.4038576504809,7.31909990310669,9.35228228785513
NOR,Norway,2023,7.315499782562256,11.087730407714844,0.9434765577316284,71.5000228881836,0.9466164112091064,0.1406360566616058,0.2827447056770324,91051.0831968407,82.509756097561,98.99997764,82.9563661816034,5.43234014511108,2.39446435427431
CHE,Switzerland,2023,7.240099906921387,11.164027214050291,0.9204392433166504,72.89995574951172,0.8910744190216064,0.026686418801546,0.266347587108612,82777.293582076,83.6048780487805,96.45279694,84.9206266284521,4.86427021026611,-1.49836009615472
LUX,Luxembourg,2023,7.22790002822876,11.65994930267334,0.878500759601593,71.67500305175781,0.9149384498596193,0.0239496231079101,0.3449783027172088,132570.826463419,82.9463414634147,98.24203749,94.7605400940185,3.74451994895935,-391.555119009248
NZL,New Zealand,2023,7.122900009155273,10.661865234375,0.9523983597755432,70.35005187988281,0.8865742683410645,0.1748282313346862,0.2712054550647735,49964.1765523158,81.9585365853658,93.07289886,83.8547305017812,5.16741991043091,3.93040138256791
AUT,Austria,2023,7.097300052642822,10.898905754089355,0.8884358406066895,71.1500473022461,0.8547372817993164,0.1016044691205024,0.4967743754386902,65694.5513287254,81.2951219512195,93.61409139,68.998085127906,5.27749013900757,3.0221599256451
AUS,Australia,2023,7.094600200653076,10.821048736572266,0.9338704347610474,71.04994201660156,0.890199601650238,0.1975610703229904,0.4959157407283783,60029.1329190733,83.2,96.11940002,87.3343268253813,5.05915021896362,4.05215286724898
CAN,Canada,2023,6.960700035095215,10.772655487060549,0.9287933111190796,71.40003967285156,0.8744681477546692,0.1525465101003646,0.4202114045619964,58321.0611834624,81.0948780487805,94.0,82.3500897353968,4.84426021575928,2.31755804932899
IRL,Ireland,2023,6.910799980163574,11.527361869812012,0.905368447303772,71.29995727539062,0.8743810653686523,0.0916595235466957,0.3579522371292114,123219.076059494,82.509756097561,95.03690338,63.8920250215059,,-6.48790793588936
USA,United States,2023,6.893700122833252,11.04824924468994,0.9191621541976928,65.85025024414062,0.8004881143569946,0.1365049034357071,0.6885946989059448,72679.2575396348,77.4341463414634,92.72850037,80.0324978239707,,1.62816817042838
